Subject,Notes,Toss,Date,Location,Translator,Age,Education,Household,Sex,Spanish
1,,N,7/3/14,0,Dino,40,1,9,M,10
2,,N,7/3/14,0,Salomon,45,4,8,F,6
3,,N,7/3/14,0,Dino,44,2,8,M,9
4,,N,7/3/14,0,Salomon,27,3,7,F,9
5,,N,7/3/14,0,Dino,42,1,8,F,6
6,,N,7/3/14,0,Dino,28,0,6,F,9
8,,N,7/3/14,0,Salomon,26,6,5,F,10
9,,N,7/4/14,1,Salomon,32,2,7,M,10
12,,N,7/4/14,1,Salomon,23,0,6,F,6
13,,N,7/4/14,1,Salomon,22,1,5,F,3
14,,N,7/4/14,1,Salomon,33,4,6,F,7
15,,N,7/4/14,1,Salomon,16,7,1,F,8
16,,N,7/4/14,1,Salomon,18,4,4,F,10
17,,N,7/4/14,1,Salomon,19,4,4,F,7
18,,N,7/4/14,1,Salomon,20,6,4,M,9
20,,N,7/7/14,2,Salomon,50,12,6,M,9
21,,N,7/7/14,2,Salomon,28,2,7,M,11
22,,N,7/7/14,2,Salomon,31,1,4,M,4
23,,Y,7/7/14,2,Salomon,38,0,4,F,6
24,,N,7/7/14,2,Salomon,24,2,6,F,7
25,,N,7/7/14,2,Salomon,16,2,3,F,6
26,,N,7/7/14,2,Salomon,19,3,3,M,11
27,,N,7/8/14,3,Salomon,26,3,5,F,9
28,,N,7/8/14,3,Salomon,26,4,6,F,7
29,,N,7/8/14,3,Salomon,34,2,10,F,8
30,,N,7/8/14,3,Salomon,23,1,5,F,9
30,,N,7/8/14,3,Salomon,33,1,10,F,6
31,,N,7/8/14,3,Salomon,25,2,5,F,5
32,,N,7/8/14,3,Salomon,20,5,4,F,8
33,,N,7/8/14,3,Salomon,40,0,7,F,6
34,,N,7/8/14,3,Salomon,48,2,11,M,11
35,,N,7/8/14,3,Salomon,46,0,9,F,6
37,,N,7/8/14,3,Salomon,32,0,8,F,6
38,,N,7/8/14,3,Salomon,26,5,5,F,9
41,,N,7/9/14,4,Salomon,39,5,8,M,10
42,,N,7/9/14,4,Salomon,27,4,5,M,10
43,,N,7/9/14,4,Salomon,39,2,5,M,10
44,,N,7/9/14,4,Salomon,32,4,7,F,6
45,,N,7/9/14,4,Salomon,22,4,3,M,9
46,,N,7/9/14,4,Salomon,29,7,8,M,9
47,,Y,7/9/14,4,Salomon,59,0,6,F,8
48,,N,7/9/14,4,Salomon,44,0,10,F,8
49,,N,7/9/14,4,Salomon,19,4,4,F,8
50,,N,7/9/14,4,Salomon,26,2,7,F,9
51,,N,7/9/14,4,Salomon,31,5,6,M,10
52,,N,7/11/14,5,Salomon,34,2,5,M,9
53,,N,7/11/14,5,Salomon,37,2,5,F,7
54,,N,7/11/14,5,Salomon,28,1,6,F,8
55,,N,7/11/14,5,Salomon,73,0,3,F,0
56,,N,7/11/14,5,Salomon,40,3,3,F,10
57,,N,7/11/14,5,Salomon,25,0,6,F,5
58,,N,7/11/14,5,Salomon,18,3,3,F,3
59,,N,7/11/14,5,Salomon,40,5,3,M,10
60,,N,7/12/14,6,Salomon,34,0,8,M,7
61,,N,7/12/14,6,Salomon,32,0,8,F,5
62,,N,7/12/14,6,Salomon,28,0,8,M,7
63,,N,7/12/14,6,Salomon,21,3,1,F,2
64,,N,7/12/14,6,Salomon,24,3,7,F,7
65,,N,7/12/14,6,Salomon,18,6,1,F,2
66,,N,7/12/14,6,Salomon,33,5,4,M,9
53,,N,7/11/14,5,Salomon,37,2,5,F,7
54,,N,7/11/14,5,Salomon,28,1,6,F,8
55,,N,7/11/14,5,Salomon,73,0,3,F,0
56,,N,7/11/14,5,Salomon,40,3,3,F,10
57,,N,7/11/14,5,Salomon,25,0,6,F,5
58,,N,7/11/14,5,Salomon,18,3,3,F,3
59,,N,7/11/14,5,Salomon,40,5,3,M,10
60,,N,7/12/14,6,Salomon,34,0,8,M,7
61,,N,7/12/14,6,Salomon,32,0,8,F,5
62,,N,7/12/14,6,Salomon,28,0,8,M,8
63,,N,7/12/14,6,Salomon,31,3,1,F,2
64,,N,7/12/14,6,Salomon,24,3,7,F,7
65,,N,7/12/14,6,Salomon,18,6,1,F,2
66,,N,7/12/14,6,Salomon,33,5,4,M,9
67,,N,7/14/14,8,Salomon,35,2,12,F,7
68,,N,7/14/14,8,Salomon,74,0,9,F,7
69,,N,7/14/14,8,Salomon,21,5,5,F,6
70,,N,7/14/14,8,Salomon,43,4,7,F,5
71,,N,7/14/14,8,Salomon,19,3,4,F,7
72,,N,7/14/14,8,Salomon,25,7,4,F,7
73,,N,7/14/14,8,Salomon,23,3,7,F,7
74,,N,7/14/14,8,Salomon,29,5,6,F,11
75,,N,7/14/14,8,Salomon,50,0,8,F,7
76,,N,7/14/14,8,Salomon,60,0,5,F,7
77,,N,7/14/14,8,Salomon,60,1,3,F,7
78,,N,7/14/14,8,Salomon,19,3,3,F,6
79,,N,7/14/14,8,Salomon,23,5,5,M,11
80,,N,7/15/14,9,Salomon,30,5,4,F,7
81,,N,7/15/14,9,Salomon,60,1,3,F,9
82,,N,7/15/14,9,Salomon,20,4,4,F,8
83,,N,7/15/14,9,Salomon,34,4,9,F,7
84,,N,7/15/14,9,Salomon,40,2,5,F,9
85,,N,7/15/14,9,Salomon,90,2,2,F,0
86,,N,7/15/14,9,Salomon,24,8,3,F,7
87,,N,7/15/14,9,Salomon,18,6,3,F,7
88,,N,7/15/14,9,Salomon,24,10,4,F,8
89,,N,7/15/14,9,Salomon,46,0,11,F,0
90,,N,7/15/14,9,Salomon,21,4,5,F,6
91,,N,7/15/14,9,Salomon,28,3,5,F,6
92,,N,7/15/14,9,Salomon,74,5,4,M,9
93,,N,7/15/14,9,Salomon,18,6,2,F,7
94,,N,7/16/14,10,Salomon,24,3,6,M,5
95,,N,7/16/14,10,Salomon,39,0,5,M,7
96,,N,7/16/14,10,Salomon,36,0,8,F,7
97,,N,7/16/14,10,Salomon,22,3,6,F,6
98,,N,7/16/14,10,Salomon,18,5,4,F,8
99,,N,7/16/14,10,Salomon,24,3,4,F,6
100,,N,7/16/14,10,Salomon,30,0,5,F,10
101,,N,7/16/14,10,Salomon,33,12,8,M,11
102,,N,7/16/14,10,Salomon,18,4,2,F,5
103,,N,7/16/14,10,Salomon,19,3,2,M,10
104,,N,7/16/14,10,Salomon,20,4,4,F,6
105,,N,7/16/14,10,Salomon,18,4,3,F,6
106,,N,7/16/14,10,Salomon,18,7,1,F,10
107,,N,7/16/14,10,Salomon,19,6,1,F,7
